id,Score,1. Will the expression *p=p be disallowed by the compiler?,2. Which of the following statement is correct about the program in Figure 1?,3. What will be the output of the program in Figure 2?,4. Which of the following is the correct way to declare a function pointer where 'pointer' is the pointer to the function and 'function' is the name of the function?,5. What is the meaning of: int (*ptr)[10]
42,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
93,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
79,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
17,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
60,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
14,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
103,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
84,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
9,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
106,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
34,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
43,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
52,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
82,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
53,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
83,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
92,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
86,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
12,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,Invalid statement
62,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
134,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
99,4,No,The code counts the number of lines in the file,Garbage value,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
74,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
128,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
36,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,Invalid statement
31,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
104,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
141,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is an array of 10 integers
61,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
26,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
64,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
28,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
27,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
97,4,No,The code counts the number of blank lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
123,4,Yes,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
69,4,No,The code counts the number of blank lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
85,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
41,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
39,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
11,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
63,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
96,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
7,4,No,The code counts the number of lines in the file,5,void function(*pointer) = int;,"ptr is an array of 10 elements, each element is a pointer to an integer"
76,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
145,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
59,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
98,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
57,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
6,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
142,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
91,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
68,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
120,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
116,4,No,The code counts the number of lines in the file,5,void function(*pointer) = int;,"ptr is an array of 10 elements, each element is a pointer to an integer"
72,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
38,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
65,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,Invalid statement
140,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
133,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
137,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
112,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
